option,rate,avg_time
1,0,0.0401
1,5,0.0412
1,10,0.0398
1,15,0.0415
1,20,0.0403
1,25,0.0411
1,30,0.0409
1,35,0.0406
1,40,0.0413
1,45,0.0408
1,50,0.0410
1,55,0.0407
1,60,0.0412
1,65,0.0405
1,70,0.0409
1,75,0.0411
1,80,0.0408
1,85,0.0406
1,90,0.0413
1,95,0.0410
2,0,0.0403
2,5,0.0521
2,10,0.0648
2,15,0.0789
2,20,0.0952
2,25,0.1143
2,30,0.1389
2,35,0.1673
2,40,0.2031
2,45,0.2489
2,50,0.3072
2,55,0.3821
2,60,0.4795
2,65,0.6112
2,70,0.7923
2,75,1.0501
2,80,1.4388
2,85,2.0712
2,90,3.2914
2,95,6.8731
3,0,0.0405
3,5,0.0534
3,10,0.0672
3,15,0.0821
3,20,0.0998
3,25,0.1213
3,30,0.1489
3,35,0.1821
3,40,0.2253
3,45,0.2801
3,50,0.3521
3,55,0.4512
3,60,0.5923
3,65,0.7901
3,70,1.0812
3,75,1.5234
3,80,2.2918
3,85,3.6721
3,90,6.4532
3,95,13.2184
4,0,0.0404
4,5,0.0523
4,10,0.0651
4,15,0.0798
4,20,0.0963
4,25,0.1158
4,30,0.1401
4,35,0.1689
4,40,0.2043
4,45,0.2501
4,50,0.3089
4,55,0.3842
4,60,0.4823
4,65,0.6134
4,70,0.7951
4,75,1.0523
4,80,1.4401
4,85,2.0834
4,90,3.3012
4,95,6.8912
5,0,0.0434
5,5,6.5792
5,10,11.8354
5,15,18.1219
5,20,24.0753
5,25,32.7741
5,30,42.1489
5,35,53.2855
5,40,66.2373
5,45,81.5184
5,50,98.4263
5,55,123.8115
5,60,148.2521
5,65,182.6217
5,70,220.3866
5,75,264.1730
5,80,318.4325
5,85,391.7552
5,90,498.0000
5,95,850.0000
